"PLANET_NUMBER";"p_name";"Star_key";"MASS";"density (earth)";"relative radius";"Terrain Type";"Type_climate"
1;"Nihal XIV";3853;0.74;0.716;unknown;"rock arche, bog";"artic, hot, windy, frozen"
2;"Nihal XXIV";3853;1.06;0.9;1.06;"acid pool, canyons, cave, ash, jungle";"hot, temperate, frigid"
3;"Suhail XIII";7425;1.25;1.329;0.98;"rocky canyon, cityscape, urban";"frozen, windy, temperate"
4;"Suhail I";7425;1.23;1.215;1;"rocky canyon, scrubland, mountain, lakes, urban, rock arche, ice cave, savanna, river";"tropical, arid, temperate, frigid, artificial temperate, hot"
5;"Suhail III";7425;unknown;1.277;1.07;"savanna, desert, mountain";"arid, windy, frigid"
6;"Emiw Si";8531;1.8;1.133;1.17;"mountain";"tropical, humid"
7;"Ephemeral Phoenix Demetrian";5060;6.43;0.985;1.87;"glacier, field, rocky canyon, sea";"tropical, rocky, artificial temperate, subartic"
8;"Ephemeral Phoenix Asclepian";5060;unknown;0.651;1.14;"toxic cloudsea";"artic"
9;"Nebulium Sextant";3967;5.6;1.103;1.72;"lakes, forest, sea";"superheated, frigid, subartic, humid"
10;"Nebulium Septimal";1556;1.06;0.973;1.03;"vine, cave";"frigid, arid, windy"
11;"Nebulium Octal";1556;6.79;0.733;2.1;"ocean, lava river, cityscape, reef";"windy, arid, artic, frozen, tropical"
12;"Nebulium Tertial";1556;5.83;1.497;1.57;"ice canyon, grassland, mountain, jungle, acid pool, rocky desert, sinkholes, lakes";"temperate, frigid, superheated, artic, subartic, tropical, windy"
13;"Asellus Borealis XVIII";5276;2.2;1.616;1.11;"verdant, bog, ice canyon, desert, ice cave, field";"frozen, temperate, artificial temperate, rocky"
14;"Asellus Borealis II";5276;7.12;0.791;2.08;"sinkholes";"subartic, hot, windy, artic"
15;"Asellus Borealis XXIII";5276;1.28;1.403;0.97;"ocean, vine, cliff";"rocky, subartic, arid, tropical"
16;"Asellus Borealis X";5276;5;1.348;1.55;"river, lakes, grassy hill";"artificial temperate, humid, tropical"
17;"Nebula Obscura Pi";3463;1.6;1.271;1.08;"reef, cave, ice canyon";"subartic, frigid"
18;"Phact Shi";4142;2.58;0.831;1.46;"bog, glacier, cave, sea, reef";"rocky, frozen, artic, arid, temperate, frigid"
19;"Pulsar Serenity XV";2804;0.7;0.689;1.01;"city, forest, valley";"frozen, tropical, humid, windy, superheated, temperate"
20;"Siriusith Gamma";5499;2.14;1.114;1.24;"bog, jungle, sinkholes, plain, tundra";"rocky, hot, frigid"
21;"Mesarthim Undecimal";606;1.37;0.878;1.16;"hill, ice canyon, plateau, river, city, ash, ocean";"artic, humid, subartic, rocky, superheated"
22;"Elysian Anomaly Iota";1634;7.2;1.279;1.78;"plateau, hill, cityscape, bog";"superheated, tropical, windy, artificial temperate"
23;"Poerava Selenean";3553;1.56;1.068;1.13;"savanna, plateau, sinkholes";"tropical, windy, frigid, artificial temperate, superheated, arid"
24;"Enif Herculean";3328;1.2;0.967;1.07;"swamp";"artificial temperate, hot, tropical"
25;"Enif Dionian";3328;1.77;1.215;1.13;"vine, urban, reef, city";"temperate, windy, artificial temperate, superheated, frigid, artic"
26;"Enif Zephyrian";3328;3.25;0.847;1.57;"hill, swamp";"artic, tropical, superheated, rocky"
27;"Enif Gaian";3328;7.19;1.171;1.83;"canyons, rocky desert";"superheated, artic"
28;"Shinju Serenity Xi";6647;2.04;1.112;1.22;"savanna, fungus forest, valley, sinkholes, ocean, rocky desert, bog, reef, vine";"tropical, frigid, artic, subartic, artificial temperate, superheated"
29;"Shinju Serenity Pi";6647;2.14;1.057;1.27;"bog";"tropical"
30;"Shinju Serenity Theta";6647;1.48;1.136;1.09;"rocky desert, lava river, swamp, city, acid pool, hill";"artic, subartic, tropical, superheated, hot"
31;"Shinju Serenity Omega";6647;unknown;0.824;1.01;"field";"windy, subartic, artificial temperate, rocky"
32;"Wasat Helios";4853;1.2;0.994;1.06;"rock arche";"tropical, temperate, humid"
33;"Yurei Celestial VII";4287;1.31;1.068;unknown;"sinkholes, acid pool";"superheated, windy"
34;"Yurei Celestial XXII";4287;0.42;0.772;0.82;"rock arche, ice canyon, plateau";"subartic, frigid, windy, artic, tropical"
35;"Orionyx XII";6364;6.85;1.465;1.67;"plain, city, desert, rocky canyon, ice canyon";"rocky, artic, superheated, arid"
36;"Aldulfin Gaios";2794;2.34;1.157;1.26;"tundra, plain, cityscape";"subartic, frigid, artificial temperate, superheated, artic"
37;"Aldulfin Titanos";2794;1.92;0.746;1.37;"ice cave";"frigid, artic, artificial temperate, hot"
38;"Guniibuu Shi";4490;7.91;1.153;1.9;"urban, sea";"frigid"
39;"Guniibuu San";4490;1.35;1.357;1;"tundra, bog, rocky island, sinkholes, ash";"rocky, frigid, frozen, windy, humid, arid, hot"
40;"Guniibuu Ba";4490;4.96;1.303;1.56;"scrubland, forest, field, cave, urban, savanna, glacier";"frozen, superheated, artificial temperate, artic, rocky, arid"
41;"Spectrion X";5303;3.73;1.276;1.43;"fungus forest, jungle";"hot, windy, frozen"
42;"Tojil I";5695;2.65;0.795;1.49;"ice canyon, ice cave, grassland, verdant";"artificial temperate, tropical, humid, frigid"
43;"Tojil VIII";5695;3.63;1.44;1.36;"swamp, volcano, grassland, plateau, cave, lava river, island, city";"humid, tropical, hot, rocky, temperate"
44;"Algorab I";6333;7.56;0.909;2.03;"bog, toxic cloudsea, island, sea, ash";"tropical, hot, frozen"
45;"Algorab VI";6333;7.13;0.8;2.07;"lakes, ice cave, tundra, savanna";"humid, windy, tropical, subartic, artic"
46;"Algorab XVII";6333;2.88;1.213;1.33;"acid pool";"windy, rocky, artificial temperate, humid"
47;"Tianguan Qi";6302;2.04;0.951;1.29;"plain, urban";"hot, artic"
48;"Tianguan Wu";6302;1.4;1.101;1.08;"sea, toxic cloudsea, river, field, ocean, jungle";"superheated, temperate, tropical, artic, rocky, frigid"
49;"Tianguan Si";6302;3.55;0.753;1.68;"volcano, desert, fungus forest, cityscape, verdant";"artificial temperate, temperate, frozen, hot, superheated"
50;"Tianguan Er";6302;6.71;0.754;2.07;"jungle, grassy hill, volcano";"artic, rocky, hot, subartic, frozen, humid"
51;"Nyxian Whispers XI";7148;0.54;0.826;0.87;"verdant, cliff, jungle, ice canyon";"tropical, frigid, rocky"
52;"Riftwarder VII";8999;4.7;1.112;1.62;"glacier, urban, rock arche, hill, savanna";"windy, artic, rocky, temperate"
